ticker,period_type,report_period,report_year,report_quarter,indicator_code,indicator_name,value,unit,source
600031.SH,annual,20221231,2022,,revenue,营业收入,80000,million_cny,seed
600031.SH,annual,20221231,2022,,net_profit,净利润,5200,million_cny,seed
600031.SH,annual,20221231,2022,,operating_cash_flow,经营现金流,6300,million_cny,seed
600031.SH,annual,20221231,2022,,accounts_receivable,应收账款,12000,million_cny,seed
600031.SH,annual,20221231,2022,,inventory,存货,15000,million_cny,seed
600031.SH,annual,20221231,2022,,gross_margin,毛利率,24,pct,seed
600031.SH,annual,20221231,2022,,inventory_turnover,存货周转率,3.8,times,seed
600031.SH,annual,20221231,2022,,ar_turnover,应收账款周转率,5.6,times,seed
600031.SH,annual,20221231,2022,,debt_ratio,资产负债率,52,pct,seed
600031.SH,annual,20221231,2022,,expense_ratio,期间费用率,12,pct,seed
600031.SH,annual,20231231,2023,,revenue,营业收入,76000,million_cny,seed
600031.SH,annual,20231231,2023,,net_profit,净利润,3300,million_cny,seed
600031.SH,annual,20231231,2023,,operating_cash_flow,经营现金流,1800,million_cny,seed
600031.SH,annual,20231231,2023,,accounts_receivable,应收账款,14500,million_cny,seed
600031.SH,annual,20231231,2023,,inventory,存货,18500,million_cny,seed
600031.SH,annual,20231231,2023,,gross_margin,毛利率,21,pct,seed
600031.SH,annual,20231231,2023,,inventory_turnover,存货周转率,3.2,times,seed
600031.SH,annual,20231231,2023,,ar_turnover,应收账款周转率,4.8,times,seed
600031.SH,annual,20231231,2023,,debt_ratio,资产负债率,58,pct,seed
600031.SH,annual,20231231,2023,,expense_ratio,期间费用率,13.2,pct,seed
600031.SH,annual,20241231,2024,,revenue,营业收入,78000,million_cny,seed
600031.SH,annual,20241231,2024,,net_profit,净利润,3100,million_cny,seed
600031.SH,annual,20241231,2024,,operating_cash_flow,经营现金流,900,million_cny,seed
600031.SH,annual,20241231,2024,,accounts_receivable,应收账款,17000,million_cny,seed
600031.SH,annual,20241231,2024,,inventory,存货,22000,million_cny,seed
600031.SH,annual,20241231,2024,,gross_margin,毛利率,18.5,pct,seed
600031.SH,annual,20241231,2024,,inventory_turnover,存货周转率,2.6,times,seed
600031.SH,annual,20241231,2024,,ar_turnover,应收账款周转率,4.1,times,seed
600031.SH,annual,20241231,2024,,debt_ratio,资产负债率,66,pct,seed
600031.SH,annual,20241231,2024,,expense_ratio,期间费用率,14.6,pct,seed
600031.SH,quarterly,20240331,2024,1,revenue,营业收入,15000,million_cny,seed
600031.SH,quarterly,20240630,2024,2,revenue,营业收入,17000,million_cny,seed
600031.SH,quarterly,20240930,2024,3,revenue,营业收入,18000,million_cny,seed
600031.SH,quarterly,20241231,2024,4,revenue,营业收入,28000,million_cny,seed
600031.SH,quarterly,20240331,2024,1,net_profit,净利润,420,million_cny,seed
600031.SH,quarterly,20240630,2024,2,net_profit,净利润,680,million_cny,seed
600031.SH,quarterly,20240930,2024,3,net_profit,净利润,900,million_cny,seed
600031.SH,quarterly,20241231,2024,4,net_profit,净利润,1100,million_cny,seed

